,Area,Year,% of total country area cultivated,Arable land area,Cultivated area (arable land + permanent crops),Dependency ratio,Environmental Flow Requirements,GDP per capita,Gross Domestic Product (GDP),Groundwater produced internally,Groundwater: accounted inflow,Groundwater: entering the country (total),Long-term average annual precipitation in depth,Long-term average annual precipitation in volume,Overlap between surface water and groundwater,Overlap: between surface water and groundwater,Permanent crops area,Population density,Rural population,Surface water produced internally,Surface water: accounted flow of border rivers,Surface water: accounted inflow,Surface water: entering the country (total),Surface water: inflow not submitted to treaties,Surface water: inflow secured through treaties,Surface water: inflow submitted to treaties,Surface water: leaving the country to other countries (total),Surface water: outflow to other countries not submitted to treaties,Surface water: outflow to other countries secured through treaties,Surface water: outflow to other countries submitted to treaties,Surface water: total external renewable,Surface water: total flow of border rivers,Total area of the country (excl. coastal waters),Total internal renewable water resources (IRWR),Total internal renewable water resources per capita,Total population,Total renewable groundwater,Total renewable surface water,Total renewable water resources,Total renewable water resources per capita,Urban population,Water resources: total external renewable
123,Paraguay,1980,4.654,1780.0,1893.0,69.83,256.3,1505.0,5070000000.0,41.64,0.0,0.0,1130.0,459.6,41.64,41.64,113.0,8.277999999999999,1917.0,117.0,197.5,270.8,73.27,73.27,0.0,0.0,125.6,125.6,0.0,0.0,270.8,395.1,40675.0,117.0,34749.0,3367.0,41.64,387.8,387.8,115177.0,1450.0,270.8
124,Peru,1980,2.821,3285.0,3625.0,12.7,1343.0,1164.0,21200000000.0,303.0,0.0,0.0,1738.0,2234.0,303.0,303.0,340.0,14.18,6283.0,1641.0,110.0,238.8,128.8,128.8,0.0,0.0,1868.0,1868.0,0.0,0.0,238.8,250.0,128522.0,1641.0,90036.0,18226.0,303.0,1880.0,1880.0,103149.0,11943.0,238.8
125,Philippines,1980,32.13,5240.0,9640.0,0.0,151.9,741.8,37100000000.0,180.0,0.0,0.0,2348.0,704.4,145.0,145.0,4400.0,166.9,30203.0,444.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30000.0,479.0,9567.0,50068.0,180.0,444.0,479.0,9567.0,19865.0,0.0
130,Republic of Korea,1980,21.96,2049.0,2180.0,6.957999999999999,35.44,2084.0,81600000000.0,13.3,0.0,0.0,1274.0,126.5,10.7,10.7,131.0,394.7,15957.0,62.25,0.0,4.85,4.85,4.85,0.0,0.0,0.0,0.0,0.0,0.0,4.85,0.0,9926.0,64.85,1655.0,39180.0,13.3,67.1,69.7,1779.0,23223.0,4.85
131,Romania,1980,44.15,9870.0,10524.0,80.01,105.2,1170.2,41505000000.0,8.38,0.08,0.08,637.0,151.9,8.0,8.0,654.0,95.82,12096.0,42.0,1.45,169.5,168.1,168.1,0.0,0.0,22.5,22.5,0.0,0.0,169.5,2.9,23839.0,42.38,1855.0,22842.0,8.46,211.5,212.0,9281.0,10746.0,169.6
132,Rwanda,1980,40.81,790.0,1075.0,28.57,10.28,256.4,1410000000.0,7.0,0.0,0.0,1212.0,31.92,7.0,7.0,285.0,208.4,5223.0,9.5,0.0,3.8,3.8,3.8,0.0,0.0,6.145,6.145,0.0,0.0,3.8,0.0,2634.0,9.5,1731.0,5489.0,7.0,13.3,13.3,2423.0,266.2,3.8
140,Senegal,1980,15.96,3118.0,3139.0,33.8,20.16,525.3,3110000000.0,3.5,0.0,0.0,686.0,134.9,1.5,1.5,21.0,30.1,3772.0,23.8,11.0,13.17,2.17,2.17,0.0,0.0,5.4,5.4,0.0,0.0,13.17,22.0,19671.0,25.8,4358.0,5920.0,3.5,36.97,38.97,6583.0,2148.0,13.17
142,Sierra Leone,1980,7.468999999999999,460.0,540.0,0.0,117.2,367.5,1300000000.0,25.0,0.0,0.0,2526.0,182.6,15.0,15.0,80.0,48.76,2503.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7230.0,160.0,45390.0,3525.0,25.0,150.0,160.0,45390.0,1022.0,0.0
146,South Africa,1980,10.38,12355.0,12655.0,12.84,20.12,2556.0,80100000000.0,4.8,0.0,0.0,495.0,603.4,3.0,3.0,300.0,25.7,16405.0,43.0,0.0,6.6,6.6,4.3919999999999995,2.208,2.208,10.85,10.55,0.05,0.05,6.55,0.0,121909.0,44.8,1430.0,31330.0,4.8,49.55,51.35,1639.0,14925.0,6.55
148,Sri Lanka,1980,28.3,857.0,1857.0,0.0,38.54,307.6,4770000000.0,7.8,0.0,0.0,1712.0,112.3,7.0,7.0,1000.0,236.3,12610.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6561.0,52.8,3406.0,15503.0,7.8,52.0,52.8,3406.0,2893.0,0.0
149,Suriname,1980,0.3357,46.0,55.0,0.0,83.41,2514.0,915000000.0,90.0,0.0,0.0,2331.0,381.9,90.0,90.0,9.0,2.222,124.5,99.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16382.0,99.0,271978.0,364.0,90.0,99.0,99.0,271978.0,239.5,0.0
150,Sweden,1980,6.551,2946.0,2950.0,1.724,104.7,13567.0,113000000000.0,20.0,0.0,0.0,624.0,281.0,19.0,19.0,4.0,18.5,1412.0,170.0,0.0,3.0,3.0,3.0,0.0,0.0,3.0,3.0,0.0,0.0,3.0,0.0,45030.0,171.0,20531.0,8329.0,20.0,173.0,174.0,20891.0,6917.0,3.0
151,Switzerland,1980,9.952,388.9,410.9,24.49,27.28,17502.0,111000000000.0,2.5,0.0,0.0,1537.0,63.46,2.5,2.5,22.0,153.6,2541.0,40.4,0.0,13.1,13.1,13.1,0.0,0.0,40.4,40.4,0.0,0.0,13.1,0.0,4129.0,40.4,6370.0,6342.0,2.5,53.5,53.5,8436.0,3801.0,13.1
153,Thailand,1980,37.22,17199.0,19099.0,48.81,189.6,742.7,36600000000.0,41.9,0.0,0.0,1622.0,832.3,30.69,30.69,1900.0,96.02,35820.0,213.3,214.1,214.1,0.0,0.0,0.0,0.0,61.25,61.25,0.0,0.0,214.1,480.0,51312.0,224.5,4557.0,49268.0,41.9,427.4,438.6,8902.0,13448.0,214.1
155,Togo,1980,35.83,1950.0,2035.0,21.77,8.125,281.9,822000000.0,5.7,0.0,0.0,1168.0,66.33,5.0,5.0,85.0,51.33,2175.0,10.8,0.0,3.2,3.2,3.2,0.0,0.0,9.592,9.592,0.0,0.0,3.2,0.0,5679.0,11.5,3945.0,2915.0,5.7,14.0,14.7,5043.0,740.2,3.2
158,Trinidad and Tobago,1980,15.98,45.0,82.0,0.0,2.186,7262.0,8140000000.0,0.614,0.0,0.0,2200.0,11.29,0.514,0.514,37.0,218.5,1005.0,3.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,513.0,3.84,3426.0,1121.0,0.614,3.74,3.84,3426.0,115.9,0.0
159,Tunisia,1980,29.7,3160.0,4860.0,9.101,0.6767,1208.0,8130000000.0,1.495,0.1,0.1,207.0,33.87,0.4,0.4,1700.0,41.16,3294.0,3.1,0.0,0.32,0.32,0.32,0.0,0.0,0.16,0.177,0.0,0.0,0.32,0.0,16361.0,4.195,623.0,6734.0,1.595,3.42,4.615,685.3,3440.0,0.42
160,Turkey,1980,34.5,24199.0,27091.0,1.518,76.97,1402.0,64500000000.0,69.0,-1.2,0.0,593.0,465.7,28.0,28.0,2892.0,58.6,24408.0,186.0,2.9,4.7,1.8,1.8,0.0,0.0,60.12,41.22,18.9,15.75,-14.2,5.8,78535.0,227.0,4932.0,46025.0,67.8,171.8,211.6,4598.0,21617.0,-15.4
162,Uganda,1980,24.18,4180.0,5840.0,35.11,49.17,163.4,2180000000.0,29.0,0.0,0.0,1180.0,285.0,29.0,29.0,1660.0,55.16,12238.0,39.0,0.0,21.1,21.1,21.1,0.0,0.0,37.0,37.0,0.0,0.0,21.1,0.0,24155.0,39.0,2927.0,13323.0,29.0,60.1,60.1,4511.0,1085.0,21.1
164,United Kingdom,1980,28.68,6913.0,6986.0,1.361,88.35,9148.0,515000000000.0,9.8,0.0,0.0,1220.0,297.2,9.0,9.0,73.0,231.1,12046.0,144.2,0.0,2.0,2.0,2.0,0.0,0.0,3.0,3.0,0.0,0.0,2.0,0.0,24361.0,145.0,2576.0,56296.0,9.8,146.2,147.0,2611.0,44250.0,2.0
166,United States of America,1980,19.71,187765.0,189799.0,8.179,1491.0,14265.0,3340000000000.0,1383.0,0.0,0.0,715.0,6885.0,1227.0,1227.0,2034.0,24.32,60324.0,2662.0,0.0,251.0,251.0,251.0,0.0,0.0,10.5,10.5,0.0,0.0,251.0,0.0,962909.0,2818.0,12036.0,234133.0,1383.0,2913.0,3069.0,13108.0,173809.0,251.0
167,Uruguay,1980,8.035,1370.0,1416.0,46.46,134.8,3107.0,9180000000.0,22.9,0.0,0.0,1300.0,229.1,22.9,22.9,46.0,16.76,409.0,92.2,75.0,80.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,150.0,17622.0,92.2,31212.0,2954.0,22.9,172.2,172.2,58294.0,2545.0,80.0
169,Venezuela (Bolivarian Republic of),1980,3.903,2811.0,3560.0,39.25,1025.0,4738.0,76700000000.0,227.0,0.0,0.0,2044.0,1864.0,204.7,204.7,749.0,17.75,3333.0,782.7,25.0,520.0,495.0,495.0,0.0,0.0,160.0,160.0,0.0,0.0,520.0,50.0,91205.0,805.0,49734.0,16186.0,227.0,1303.0,1325.0,81861.0,12853.0,520.0
170,Viet Nam,1980,19.84,5880.0,6580.0,59.35,432.6,2675.95,40285000000.0,71.42,0.0,0.0,1821.0,604.0,35.0,35.0,700.0,171.6,45795.0,323.0,0.0,524.7,524.7,524.7,0.0,0.0,37.15,37.15,0.0,0.0,524.7,0.0,33169.0,359.4,6313.0,56932.0,71.42,847.7,884.1,15529.0,11137.0,524.7
172,Zambia,1980,2.96,2213.0,2228.0,23.47,49.36,613.9,3870000000.0,47.0,0.0,0.0,1020.0,767.7,47.0,47.0,15.0,8.379,3824.0,80.2,0.0,24.6,24.6,24.6,0.0,0.0,104.3,104.3,0.0,0.0,24.6,0.0,75261.0,80.2,12718.0,6306.0,47.0,104.8,104.8,16619.0,2482.0,24.6
173,Zimbabwe,1980,6.871,2585.0,2685.0,38.7,9.347999999999999,1106.0,8540000000.0,6.0,0.0,0.0,657.0,256.7,5.0,5.0,100.0,19.76,5877.0,11.26,7.74,7.74,0.0,0.0,0.0,0.0,14.14,14.14,0.0,0.0,7.74,39.9,39076.0,12.26,1588.0,7722.0,6.0,19.0,20.0,2590.0,1845.0,7.74
175,Albania,1985,24.83,590.0,714.0,10.93,13.56,691.0,2160000000.0,6.2,0.0,0.0,1485.0,42.69,2.35,2.35,124.0,108.6,1963.0,23.05,0.0,3.3,3.3,3.3,0.0,0.0,11.5,11.5,0.0,0.0,3.3,0.0,2875.0,26.9,8619.0,3121.0,6.2,26.35,30.2,9676.0,1158.0,3.3
176,Algeria,1985,3.201,7069.0,7624.0,3.5989999999999998,4.56,2790.0,66700000000.0,1.4869999999999999,0.03,0.03,89.0,212.0,0.0,0.0,555.0,10.04,11872.0,9.76,0.0,0.39,0.39,0.39,0.0,0.0,0.32,0.32,0.0,0.0,0.39,0.0,238174.0,11.25,470.4,23918.0,1.517,10.15,11.67,487.9,12046.0,0.42
180,Argentina,1985,10.01,26800.0,27819.0,66.67,515.8,3543.0,111000000000.0,128.0,0.0,0.0,591.0,1643.0,112.0,112.0,1019.0,11.27,4496.0,276.0,67.94,584.2,516.3,516.3,0.0,0.0,48.0,48.0,0.0,0.0,584.2,135.9,278040.0,292.0,9321.0,31326.0,128.0,860.2,876.2,27970.0,26830.0,584.2
181,Australia,1985,6.085,46941.0,47106.0,0.0,243.3,11627.0,189000000000.0,72.0,0.0,0.0,534.0,4134.0,20.0,20.0,165.0,2.1,2321.0,440.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,774122.0,492.0,30268.0,16255.0,72.0,440.0,492.0,30268.0,13934.0,0.0
182,Austria,1985,18.04,1439.0,1513.0,29.21,41.51,16232.0,124000000000.0,6.0,0.0,0.0,1110.0,93.11,6.0,6.0,74.0,91.07,2655.0,55.0,0.0,22.7,22.7,22.7,0.0,0.0,77.7,77.7,0.0,0.0,22.7,0.0,8388.0,55.0,7200.0,7639.0,6.0,77.7,77.7,10171.0,4984.0,22.7
185,Bangladesh,1985,64.09,9235.0,9515.0,91.44,600.3,247.1,24300000000.0,21.09,0.032,0.032,2666.0,395.8,0.0,0.0,280.0,662.4,80045.0,83.91,0.0,1122.0,1122.0,1122.0,0.0,0.0,0.057,0.057,0.0,0.0,1122.0,0.0,14846.0,105.0,1068.0,98344.0,21.12,1206.0,1227.0,12477.0,18299.0,1122.0
188,Belize,1985,2.786,49.0,64.0,29.79,13.72,1587.0,277000000.0,7.51,0.0,0.0,1705.0,39.16,7.51,7.51,15.0,7.587999999999999,90.6,15.26,0.43200000000000005,6.474,6.042000000000001,6.042000000000001,0.0,0.0,0.0,0.0,0.0,0.0,6.474,0.8640000000000001,2297.0,15.26,87550.0,174.3,7.51,21.73,21.73,124670.0,83.7,6.474
189,Benin,1985,14.81,1600.0,1700.0,60.97,13.06,344.5,1560000000.0,1.8,0.0,0.0,1039.0,119.2,1.5,1.5,100.0,39.52,3069.0,10.0,16.09,16.09,0.0,0.0,0.0,0.0,5.8,5.8,0.0,0.0,16.09,32.19,11476.0,10.3,2271.0,4535.0,1.8,26.09,26.39,5819.0,1466.0,16.09
190,Bhutan,1985,3.511,146.0,165.0,0.0,54.1,506.0,253000000.0,9.5,0.0,0.0,2200.0,103.4,9.5,9.5,19.0,10.65,429.0,95.0,0.0,0.0,0.0,0.0,0.0,0.0,95.0,78.0,0.0,0.0,0.0,0.0,4700.0,95.0,189848.0,500.4,9.5,95.0,95.0,189848.0,71.37,0.0
191,Bolivia (Plurinational State of),1985,2.0269999999999997,2070.0,2227.0,47.13,396.6,672.5,4350000000.0,130.0,0.0,0.0,1146.0,1259.0,103.9,103.9,157.0,5.885,3138.0,277.4,11.5,270.5,259.0,259.0,0.0,0.0,566.0,566.0,0.0,0.0,270.5,15.0,109858.0,303.5,46945.0,6465.0,130.0,547.9,574.0,88786.0,3327.0,270.5
192,Botswana,1985,0.7048,409.0,410.0,80.39,2.677,1555.0,1970000000.0,1.7,0.0,0.0,416.0,242.0,0.1,0.1,1.0,2.173,854.7,0.8,0.8,9.84,9.04,9.04,0.0,0.0,0.6,0.6,0.0,0.0,9.84,1.6,58173.0,2.4,1899.0,1264.0,1.7,10.64,12.24,9684.0,409.3,9.84
193,Brazil,1985,6.505,49500.0,55391.0,34.53,6532.0,2081.0,294000000000.0,645.6,0.0,0.0,1761.0,14995.0,645.6,645.6,5891.0,16.59,39868.0,5661.0,0.0,2986.0,2986.0,2986.0,0.0,0.0,585.7,585.7,0.0,0.0,2986.0,0.0,851577.0,5661.0,40071.0,141273.0,645.6,8647.0,8647.0,61208.0,101405.0,2986.0
194,Brunei Darussalam,1985,1.213,3.0,7.0,0.0,5.846,11593.0,2750000000.0,0.1,0.0,0.0,2722.0,15.71,0.1,0.1,4.0,41.18,87.3,8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,577.0,8.5,35774.0,237.6,0.1,8.5,8.5,35774.0,150.3,0.0
195,Bulgaria,1985,37.22,3825.0,4131.0,1.4080000000000001,7.771,3173.0,28400000000.0,6.4,0.0,0.0,608.0,67.48,5.5,5.5,306.0,80.73,3116.0,20.1,0.0,0.3,0.3,0.3,0.0,0.0,16.9,16.9,0.0,0.0,0.3,179.0,11099.0,21.0,2344.0,8960.0,6.4,20.4,21.3,2377.0,5844.0,0.3
196,Burkina Faso,1985,11.45,3075.0,3140.0,7.407,3.04,291.1,2370000000.0,9.5,0.0,0.0,748.0,205.1,5.0,5.0,65.0,29.68,7076.0,8.0,0.0,1.0,1.0,1.0,0.0,0.0,15.2,15.2,0.0,0.0,1.0,0.0,27422.0,12.5,1536.0,8140.0,9.5,9.0,13.5,1658.0,1064.0,1.0
197,Burundi,1985,45.99,930.0,1280.0,19.75,9.788,226.8,1130000000.0,7.47,0.0,0.0,1274.0,35.46,7.47,7.47,350.0,179.2,4701.0,10.06,2.35,2.476,0.126,0.126,0.0,0.0,7.6,7.6,0.0,0.0,2.476,4.7,2783.0,10.06,2017.0,4988.0,7.47,12.54,12.54,2514.0,287.0,2.476
200,Cameroon,1985,15.16,5930.0,7210.0,3.585,213.4,1150.0,12300000000.0,100.0,0.0,0.0,1604.0,762.6,95.0,95.0,1280.0,22.5,6510.0,268.0,6.15,10.15,4.0,4.0,0.0,0.0,40.0,40.0,0.0,0.0,10.15,12.3,47544.0,273.0,25524.0,10696.0,100.0,278.1,283.1,26468.0,4186.0,10.15
203,Chad,1985,2.496,3180.0,3205.0,67.18,25.22,215.1,1160000000.0,11.5,0.0,0.0,322.0,413.4,10.0,10.0,25.0,4.212,4316.0,13.5,0.0,30.7,30.7,30.7,0.0,0.0,10.15,10.15,0.0,0.0,30.7,0.0,128400.0,15.0,2774.0,5408.0,11.5,44.2,45.7,8450.0,1092.0,30.7
204,Chile,1985,4.382,3076.0,3313.0,4.123,529.3,1660.0,20900000000.0,140.0,0.0,0.0,1522.0,1151.0,140.0,140.0,237.0,16.66,2199.0,885.0,0.0,38.06,38.06,38.06,0.0,0.0,3.15,3.15,0.0,0.0,38.06,0.0,75610.0,885.0,70272.0,12594.0,140.0,923.1,923.1,73297.0,10395.0,38.06
205,China,1985,13.34,120913.0,128094.0,0.9619,1471.0,238.4,271000000000.0,828.8,0.0,0.0,645.0,6192.0,727.9,727.9,7181.0,118.4,851397.0,2712.0,10.15,27.32,17.17,17.17,0.0,0.0,718.8,718.8,0.0,0.0,27.32,20.3,960000.0,2813.0,2474.0,1136800.0,828.8,2739.0,2840.0,2498.0,285403.0,27.32
206,Colombia,1985,4.658,3824.0,5318.0,9.11,1692.0,1125.0,36400000000.0,510.0,0.0,0.0,3240.0,3699.0,510.0,510.0,1494.0,28.31,11408.0,2145.0,0.0,215.0,215.0,215.0,0.0,0.0,1375.0,1375.0,0.0,0.0,215.0,0.0,114175.0,2145.0,66359.0,32324.0,510.0,2360.0,2360.0,73011.0,20916.0,215.0
210,Costa Rica,1985,10.29,285.0,526.0,0.0,54.4,2034.0,5840000000.0,37.31,0.0,0.0,2926.0,149.5,37.31,37.31,241.0,56.2,1526.0,113.0,0.0,0.0,0.0,0.0,0.0,0.0,9.655,9.655,0.0,0.0,0.0,0.0,5110.0,113.0,39345.0,2872.0,37.31,113.0,113.0,39345.0,1346.0,0.0
211,Cuba,1985,33.94,3330.0,3730.0,0.0,9.055,2455.0,25200000000.0,6.48,0.0,0.0,1335.0,146.7,0.0,0.0,400.0,93.46,2872.0,31.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10989.0,38.12,3712.0,10270.0,6.48,31.64,38.12,3712.0,7398.0,0.0
212,Cyprus,1985,17.02,103.4,157.4,0.0,0.0484,5121.0,3700000000.0,0.41,0.0,0.0,498.0,4.606,0.19,0.19,54.0,78.21,249.4,0.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,925.0,0.78,1078.0,723.4,0.41,0.56,0.78,1078.0,474.0,0.0
216,Democratic Republic of the Congo,1985,3.3480000000000003,6700.0,7850.0,29.85,981.7,243.0,7660000000.0,421.0,0.0,0.0,1543.0,3618.0,420.0,420.0,1150.0,13.45,22214.0,899.0,0.0,383.0,383.0,383.0,0.0,0.0,3.301,3.301,0.0,0.0,383.0,0.0,234486.0,900.0,28544.0,31530.0,421.0,1282.0,1283.0,40691.0,9316.0,383.0
217,Denmark,1985,60.06,2578.0,2588.0,0.0,2.302,2655.0,109000000000.0,4.3,0.0,0.0,703.0,30.29,2.0,2.0,10.0,952.6,36720.0,3.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4309.0,6.0,146.2,41047.0,4.3,3.7,6.0,146.2,4327.0,0.0
220,Dominican Republic,1985,29.53,991.0,1437.0,0.0,5.456,861.4,5830000000.0,4.1610000000000005,0.0,0.0,1410.0,68.62,4.1610000000000005,4.1610000000000005,446.0,139.0,3060.0,23.5,0.0,0.0,0.0,0.0,0.0,0.0,1.015,1.015,0.0,0.0,0.0,0.0,4867.0,23.5,3474.0,6765.0,4.1610000000000005,23.5,23.5,3474.0,3705.0,0.0
221,Ecuador,1985,10.0,1616.0,2836.0,0.0,296.2,1467.0,13900000000.0,134.0,0.0,0.0,2274.0,644.8,123.6,123.6,1220.0,33.52,4535.0,432.0,0.0,0.0,0.0,0.0,0.0,0.0,163.8,163.8,0.0,0.0,0.0,0.0,28356.0,442.4,46549.0,9504.0,134.0,432.0,442.4,46549.0,4969.0,0.0
222,Egypt,1985,2.543,2288.0,2547.0,98.26,2.6,763.4,40500000000.0,0.5,1.0,1.0,18.1,18.13,0.0,0.0,259.0,52.99,29909.0,0.5,0.0,55.5,84.0,0.0,55.5,84.0,0.0,0.0,0.0,0.0,55.5,0.0,100145.0,1.0,18.84,53066.0,1.5,56.0,57.5,1084.0,23157.0,56.5
223,El Salvador,1985,36.93,520.0,777.0,40.5,10.24,783.2,3960000000.0,6.15,0.0,0.0,1784.0,37.54,2.57,2.57,257.0,240.2,2607.0,12.05,0.0,10.64,10.64,10.64,0.0,0.0,0.0,0.0,0.0,0.0,10.64,0.0,2104.0,15.63,3093.0,5054.0,6.15,22.69,26.27,5198.0,2447.0,10.64
224,Equatorial Guinea,1985,8.2,130.0,230.0,0.0,15.21,239.2,93300000.0,10.0,0.0,0.0,2156.0,60.48,9.0,9.0,100.0,13.91,281.7,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2805.0,26.0,66632.0,390.2,10.0,25.0,26.0,66632.0,108.5,0.0
225,Eswatini,1985,10.2,164.0,177.0,41.46,3.133,761.9,584000000.0,0.66,0.0,0.0,788.0,13.68,0.66,0.66,13.0,44.16,591.5,2.64,0.0,1.87,1.87,1.87,0.0,0.0,4.5,4.5,0.0,0.0,1.87,0.0,1736.0,2.64,3443.0,766.7,0.66,4.51,4.51,5882.0,175.2,1.87
228,Finland,1985,6.746,2279.0,2281.0,2.727,67.83,18529.0,91600000000.0,2.2,0.0,0.0,536.0,181.2,2.0,2.0,1.8,14.63,1130.0,106.8,0.0,3.0,3.0,3.0,0.0,0.0,27.0,27.0,0.0,0.0,3.0,0.0,33815.0,107.0,21634.0,4946.0,2.2,109.8,110.0,22240.0,3816.0,3.0
229,France,1985,35.44,18167.0,19459.0,5.212999999999999,96.77,16743.0,938000000000.0,120.0,0.0,0.0,867.0,476.1,118.0,118.0,1292.0,102.0,14689.0,198.0,0.0,11.0,11.0,11.0,0.0,0.0,18.0,18.0,0.0,0.0,11.0,33.0,54909.0,200.0,3570.0,56025.0,120.0,209.0,211.0,3766.0,41336.0,11.0
232,Germany,1985,34.71,11945.0,12390.0,30.52,81.04,16527.0,1290000000000.0,45.7,0.0,0.0,700.0,249.9,45.0,45.0,445.0,218.7,20797.0,106.3,0.0,47.0,47.0,47.0,0.0,0.0,90.8,90.8,0.0,0.0,47.0,0.0,35697.0,107.0,1371.0,78054.0,45.7,153.3,154.0,1973.0,57257.0,47.0
233,Ghana,1985,16.77,2500.0,4000.0,46.09,33.26,376.4,5070000000.0,26.3,0.0,0.0,1187.0,283.1,25.0,25.0,1500.0,56.51,8858.0,29.0,0.0,25.9,25.9,25.9,0.0,0.0,0.0,0.0,0.0,0.0,25.9,0.0,23854.0,30.3,2248.0,13481.0,26.3,54.9,56.2,4169.0,4623.0,25.9
234,Greece,1985,29.72,2870.0,3922.0,15.2,18.97,6521.0,65700000000.0,10.3,0.0,0.0,652.0,86.04,7.8,7.8,1052.0,76.3,2973.0,55.5,2.8,10.4,7.6,7.6,0.0,0.0,1.8,1.8,0.0,0.0,10.4,5.6,13196.0,58.0,5761.0,10068.0,10.3,65.9,68.4,6794.0,7095.0,10.4
237,Guinea,1985,13.72,2924.0,3374.0,0.0,161.0,379.4,2040000000.0,38.0,0.0,0.0,1651.0,405.9,38.0,38.0,450.0,21.89,3923.0,226.0,0.0,0.0,0.0,0.0,0.0,0.0,102.2,102.2,0.0,0.0,0.0,0.0,24586.0,226.0,42000.0,5381.0,38.0,226.0,226.0,42000.0,1458.0,0.0
238,Guinea-Bissau,1985,9.134,240.0,330.0,49.04,19.7,184.2,174000000.0,14.0,0.0,0.0,1577.0,56.98,10.0,10.0,90.0,26.12,709.4,12.0,0.0,15.4,15.4,15.4,0.0,0.0,0.0,0.0,0.0,0.0,15.4,0.0,3613.0,16.0,16956.0,943.6,14.0,27.4,31.4,33277.0,234.2,15.4
239,Guyana,1985,2.326,480.0,500.0,11.07,227.2,468.1,355000000.0,103.0,0.0,0.0,2387.0,513.1,103.0,103.0,20.0,3.5239999999999996,537.0,241.0,0.0,30.0,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,21497.0,241.0,318152.0,757.5,103.0,271.0,271.0,357756.0,220.5,30.0
242,Honduras,1985,15.87,1441.0,1785.0,1.632,57.39,914.2,4150000000.0,39.0,0.0,0.0,1976.0,222.3,29.91,29.91,344.0,40.38,2792.0,81.57,0.0,1.504,1.504,1.504,0.0,0.0,4.947,5.763999999999999,0.0,0.0,1.504,0.0,11249.0,90.66,19960.0,4542.0,39.0,83.07,92.16,20291.0,1750.0,1.504
243,Hungary,1985,56.85,5048.0,5289.0,94.23,46.1,2492.0,26100000000.0,6.0,0.0,0.0,589.0,54.79,6.0,6.0,241.0,112.6,3614.0,6.0,0.0,98.0,98.0,98.0,0.0,0.0,104.0,104.0,0.0,0.0,98.0,23.0,9303.0,6.0,572.8,10475.0,6.0,104.0,104.0,9928.0,6861.0,98.0
244,Iceland,1985,1.311,135.0,135.0,0.0,96.41,22523.0,5570000000.0,24.0,0.0,0.0,1940.0,199.8,20.0,20.0,0.0,2.399,24.8,166.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10300.0,170.0,687981.0,247.1,24.0,166.0,170.0,687981.0,222.3,0.0
245,India,1985,51.63,163205.0,169705.0,30.52,937.1,347.7,284000000000.0,432.0,0.0,0.0,1083.0,3560.0,390.0,390.0,6500.0,248.5,614153.0,1404.0,0.0,635.2,635.2,635.2,0.0,0.0,1385.0,1142.0,170.3,243.0,464.9,0.0,328726.0,1446.0,1770.0,816793.0,432.0,1869.0,1911.0,2340.0,202640.0,464.9
246,Indonesia,1985,16.04,21170.0,30644.0,0.0,1269.0,442.1,75900000000.0,457.4,0.0,0.0,2702.0,5163.0,411.7,411.7,9474.0,89.87,124677.0,1973.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,191093.0,2019.0,11757.0,171729.0,457.4,1973.0,2019.0,11757.0,47052.0,0.0
247,Iran (Islamic Republic of),1985,9.472000000000001,15400.0,16530.0,6.773,22.7,326.4,134000000000.0,49.3,0.0,0.0,228.0,397.9,18.1,18.1,1130.0,235.2,382384.0,97.3,2.315,9.335,7.77,6.2,0.82,1.57,18.67,17.5,0.79,1.17,8.545,4.63,174515.0,128.5,313.0,410497.0,49.3,105.8,137.0,333.7,28113.0,8.545
249,Ireland,1985,13.99,980.0,983.0,5.769,31.22,9507.0,34000000000.0,10.8,0.0,0.0,1118.0,78.57,10.0,10.0,3.0,50.83,1572.0,48.2,0.0,3.0,3.0,3.0,0.0,0.0,2.0,2.0,0.0,0.0,3.0,0.0,7028.0,49.0,13718.0,3572.0,10.8,51.2,52.0,14558.0,2000.0,3.0
